Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
148,Scotch,Speyside,Fruit,Glenfiddich,14,3.5,,,,14,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
149,Bourbon,,Wheat,Old Rip Van Winkle,10,4.5,,?,,10,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
150,Scotch,Blended Malt,Malt,Compass Box,Spice Tree,3.5,,,,,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
151,American,Blended,,Kinsey,American,3,,,,10,8/22/2018,,,,,,,,,,,,,,,,,,,,,,
152,World,Indian,,Paul John,Brilliance,3.5,,,,,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
153,Bourbon,,,Willett,Pot Still Reserve,2.5,,,,,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
154,Scotch,Highland,,Deveron,12,2.5,,,,12,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
155,Scotch,Highland,,AnCnoc,12,3,,,,12,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
156,Scotch,Speyside,Light Smoke,Craigellachie,13,4.5,,,,13,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
157,Scotch,Speyside,Sherry,Glenfarclas,17,4,,,,17,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
158,Bourbon,,Sherry,Noble Oak,Double Oak,5,,,,,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
159,Rye,MGP,Rum,Angel's Envy,Rye,5,,,,6,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
160,Bourbon,,,Stagg Jr.,,3.5,,?,,,8/27/2018,,,,,,,,,,,,,,,,,,,,,,
161,Scotch,Speyside,Fruit,Glenfiddich,15 Solera,3.5,,,,15,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
162,Scotch,Islay,Smoke,Kilchoman,Machir Bay,3,,,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
163,Scotch,Islay,Smoke,Laphroaig,Cairdeas CS Quarter Cask,3,,2017,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
164,Rye,Utah,Port,High West,Midwinter Night's Dram,3.5,,5.2,,4,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
165,Scotch,Islay,Smoke/Sherry,Ardbeg,An Oa,3.5,,,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
166,Scotch,Speyside,,BenRiach,10,4,,,,10,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
167,American,Bourbon/Rye,Bourye,High West,Bourye,4,,,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
